image_id,source,query,source_url,download_url,license,author,width,height,local_path,downloaded_at,image_domain,dataset_label,clean_path,clean_status,clean_reason,mean_intensity,std_intensity
Bontecou_Lake_Milky_Way_panorama_jpg_aug_04,local_augmentation,augmentation:lake landscape,https://commons.wikimedia.org/wiki/File:Bontecou_Lake_Milky_Way_panorama.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Bontecou_Lake_Milky_Way_panorama.jpg/1920px-Bontecou_Lake_Milky_Way_panorama.jpg,CC BY-SA 4.0,Juliancolton,1600,787,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Bontecou_Lake_Milky_Way_panorama_jpg_aug_04.jpg,2026-07-02T06:54:18.509958+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Bontecou_Lake_Milky_Way_panorama_jpg_aug_04.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,94.6647,55.9764
Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg_aug_05,local_augmentation,augmentation:beach landscape,"https://commons.wikimedia.org/wiki/File:Parasols,_Evening,_Beach,_Rincon_de_la_Victoria,_Andalusia,_Spain.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Parasols%2C_Evening%2C_Beach%2C_Rincon_de_la_Victoria%2C_Andalusia%2C_Spain.jpg/1920px-Parasols%2C_Evening%2C_Beach%2C_Rincon_de_la_Victoria%2C_Andalusia%2C_Spain.jpg,CC0,Jebulon,1600,1200,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg_aug_05.jpg,2026-07-02T06:54:18.634184+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg_aug_05.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,130.1763,51.9392
004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg_aug_06,local_augmentation,augmentation:national park,https://commons.wikimedia.org/wiki/File:004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg/1920px-004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg,CC BY-SA 4.0,Giles Laurent,1600,1200,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg_aug_06.jpg,2026-07-02T06:54:18.771822+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg_aug_06.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,134.7568,59.1805
004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent_jpg_aug_07,local_augmentation,augmentation:national park,https://commons.wikimedia.org/wiki/File:004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg/1920px-004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg,CC BY-SA 4.0,Giles Laurent,1600,614,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent_jpg_aug_07.jpg,2026-07-02T06:54:18.834738+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent_jpg_aug_07.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,114.9191,48.4783
Algoma_Gabrielle_Rock_I0012362_jpg_aug_08,local_augmentation,augmentation:Landscape photographs,"https://commons.wikimedia.org/wiki/File:Algoma,_Gabrielle_Rock_(I0012362).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Algoma%2C_Gabrielle_Rock_%28I0012362%29.jpg/1920px-Algoma%2C_Gabrielle_Rock_%28I0012362%29.jpg,OGL-ON,VNDS,1600,1149,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Algoma_Gabrielle_Rock_I0012362_jpg_aug_08.jpg,2026-07-02T06:54:18.952614+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Algoma_Gabrielle_Rock_I0012362_jpg_aug_08.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,105.8274,56.827
jpg_aug_09,local_augmentation,augmentation:Desert landscapes,https://commons.wikimedia.org/wiki/File:%D8%B0%DA%A9%D8%B1%D8%A7_%D8%B4%D9%87%D8%AF%D8%A7%D8%A1_%D8%AD%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/%D8%B0%DA%A9%D8%B1%D8%A7_%D8%B4%D9%87%D8%AF%D8%A7%D8%A1_%D8%AD%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82.jpg,CC BY-SA 4.0,Masoumeh Zouhiry,1280,721,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg_aug_09.jpg,2026-07-02T06:54:19.007072+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg_aug_09.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,99.3674,63.7927
Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J_aug_10,local_augmentation,augmentation:forest landscape,https://commons.wikimedia.org/wiki/File:Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg/1920px-Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg,CC BY-SA 4.0,Basile Morin,1600,1200,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J_aug_10.jpg,2026-07-02T06:54:19.154288+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J_aug_10.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,74.678,55.2852
Bontecou_Lake_Milky_Way_panorama_jpg_aug_11,local_augmentation,augmentation:lake landscape,https://commons.wikimedia.org/wiki/File:Bontecou_Lake_Milky_Way_panorama.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Bontecou_Lake_Milky_Way_panorama.jpg/1920px-Bontecou_Lake_Milky_Way_panorama.jpg,CC BY-SA 4.0,Juliancolton,1600,787,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Bontecou_Lake_Milky_Way_panorama_jpg_aug_11.jpg,2026-07-02T06:54:19.234108+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Bontecou_Lake_Milky_Way_panorama_jpg_aug_11.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,93.642,42.9537
Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg_aug_12,local_augmentation,augmentation:beach landscape,"https://commons.wikimedia.org/wiki/File:Parasols,_Evening,_Beach,_Rincon_de_la_Victoria,_Andalusia,_Spain.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Parasols%2C_Evening%2C_Beach%2C_Rincon_de_la_Victoria%2C_Andalusia%2C_Spain.jpg/1920px-Parasols%2C_Evening%2C_Beach%2C_Rincon_de_la_Victoria%2C_Andalusia%2C_Spain.jpg,CC0,Jebulon,1600,1200,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg_aug_12.jpg,2026-07-02T06:54:19.364737+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg_aug_12.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,136.2406,52.3521
004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg_aug_13,local_augmentation,augmentation:national park,https://commons.wikimedia.org/wiki/File:004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg/1920px-004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg,CC BY-SA 4.0,Giles Laurent,1600,1200,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg_aug_13.jpg,2026-07-02T06:54:19.487520+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg_aug_13.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,108.904,51.6132
