image_id,source,query,source_url,download_url,license,author,width,height,local_path,downloaded_at,image_domain,dataset_label
C_sar_van_Loo_1743-1821_-_Sunset_Landscape_-_609014_-_National_Trust_jpg,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\C_sar_van_Loo_1743-1821_-_Sunset_Landscape_-_609014_-_National_Trust_jpg.jpg,2026-07-09T00:57:20.726974+00:00,landscape,landscape
Carl_Spitzweg_1808-1885_-_Mountain_Landscape_-_WA1954_70_164_-_Ashmolean_Museum_,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Carl_Spitzweg_1808-1885_-_Mountain_Landscape_-_WA1954_70_164_-_Ashmolean_Museum_.jpg,2026-07-09T00:57:20.727948+00:00,landscape,landscape
Castle_Mountain_jpg,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Castle_Mountain_jpg.jpg,2026-07-09T00:57:20.728600+00:00,landscape,landscape
Catoctin_Mountain_and_farm_MD1_jpg,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Catoctin_Mountain_and_farm_MD1_jpg.jpg,2026-07-09T00:57:20.729054+00:00,landscape,landscape
Gillis_van_Coninxloo_-_Forest_Landscape_-_38_70_-_Detroit_Institute_of_Arts_jpg,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Gillis_van_Coninxloo_-_Forest_Landscape_-_38_70_-_Detroit_Institute_of_Arts_jpg.jpg,2026-07-09T00:57:20.729598+00:00,landscape,landscape
Gyps_rueppellii_-Nairobi_National_Park_Kenya-8-4c_jpg,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Gyps_rueppellii_-Nairobi_National_Park_Kenya-8-4c_jpg.jpg,2026-07-09T00:57:20.730117+00:00,landscape,landscape
Painting_of_Maharaja_Ranjit_Singh_seated_and_wearing_red_robe_with_natural_scene,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Painting_of_Maharaja_Ranjit_Singh_seated_and_wearing_red_robe_with_natural_scene.jpg,2026-07-09T00:57:20.730881+00:00,landscape,landscape
Pirogue_and_boat_on_the_Mekong_with_colorful_sky_at_sunset_in_Luang_Prabang_Laos,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Pirogue_and_boat_on_the_Mekong_with_colorful_sky_at_sunset_in_Luang_Prabang_Laos.jpg,2026-07-09T00:57:20.731849+00:00,landscape,landscape
Ruisseau_du_Vialais_-_March_2021_-_B_jpg,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Ruisseau_du_Vialais_-_March_2021_-_B_jpg.jpg,2026-07-09T00:57:20.732561+00:00,landscape,landscape
Shishkin_Ivan_-_Morning_in_a_Pine_Forest_jpg,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Shishkin_Ivan_-_Morning_in_a_Pine_Forest_jpg.jpg,2026-07-09T00:57:20.733353+00:00,landscape,landscape
Sunset_by_Caspar_David_Friedrich_jpg,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Sunset_by_Caspar_David_Friedrich_jpg.jpg,2026-07-09T00:57:20.733834+00:00,landscape,landscape
Wind_Mountain_Columbia_R_-_NARA_-_102278851_page_1_png,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Wind_Mountain_Columbia_R_-_NARA_-_102278851_page_1_png.png,2026-07-09T00:57:20.734309+00:00,landscape,landscape
